Date : 2023-04-28 10:42:18
Directory : c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request
Total : 333 files,  54268 codes, 23062 comments, 11432 blanks, all 88762 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\elr_mpl\elr_mpl.c                                   | C            |        435 |         59 |         77 |        571 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\elr_mpl\elr_mtx.c                                   | C            |         35 |          3 |          8 |         46 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\log.c                                               | C            |         89 |         57 |         20 |        166 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\main.c                                              | C            |        105 |         43 |         22 |        170 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\master.c                                            | C            |        102 |         35 |         43 |        180 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mdb\libshare.c                                      | C            |         93 |         25 |         20 |        138 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mdb\mdb3.c                                          | C            |         66 |         18 |         20 |        104 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mdb\mdb_operate.c                                   | C            |         58 |         19 |         16 |         93 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mdb\mdbrw3.c                                        | C            |        101 |         19 |         25 |        145 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mdb\share.c                                         | C            |         37 |         17 |          6 |         60 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\model\data.c                                        | C            |         38 |         21 |          9 |         68 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\model\model.c                                       | C            |         74 |         22 |         22 |        118 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mpool.c                                             | C            |        153 |         28 |         36 |        217 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\request.c                                           | C            |        380 |         75 |         59 |        514 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\response.c                                          | C            |        174 |         39 |         47 |        260 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\router.c                                            | C            |        215 |         23 |         52 |        290 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\server.c                                            | C            |        482 |         54 |        164 |        700 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\session.c                                           | C            |        247 |        134 |         85 |        466 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\template.c                                          | C            |        153 |         24 |         38 |        215 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_list.c                                   | C            |         64 |         23 |         16 |        103 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_queue.c                                  | C            |         90 |         23 |         16 |        129 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_stack.c                                  | C            |         87 |         24 |         21 |        132 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_string.c                                 | C            |        163 |         34 |         30 |        227 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_thread_pool.c                            | C            |        147 |         84 |         69 |        300 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_timer.c                                  | C            |         63 |         20 |         13 |         96 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\utility.c                                   | C            |         66 |         26 |         17 |        109 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\views\mdb.c                                         | C            |         14 |          0 |          6 |         20 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\views\mysql.c                                       | C            |         25 |          3 |          8 |         36 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\views\other.c                                       | C            |         41 |          4 |         12 |         57 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\views\session.c                                     | C            |         79 |          1 |         20 |        100 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\views\template.c                                    | C            |         27 |          0 |          9 |         36 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\bin\templates\test.html                                 | HTML         |         16 |          0 |          3 |         19 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\bin\templates\test2.html                                | HTML         |          1 |          0 |          0 |          1 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\build.sh                                                | Shell Script |          1 |          0 |          1 |          2 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\get.py                                                  | Python       |          3 |          0 |          1 |          4 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\conf\conf.h                 | C++          |         46 |         22 |         18 |         86 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\cpool.h                     | C++          |         41 |         19 |         20 |         80 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\elr_mpl\elr_mpl.h           | C++          |         47 |        139 |         19 |        205 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\elr_mpl\elr_mtx.h           | C++          |         20 |         46 |         16 |         82 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\log.h                       | C++          |         36 |         22 |         21 |         79 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\mdb\mdb.h                   | C++          |         27 |         17 |         11 |         55 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\mdb\share.h                 | C++          |         28 |         17 |         16 |         61 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\model\data.h                | C++          |         20 |         17 |         10 |         47 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\model\model.h               | C++          |         28 |         18 |         19 |         65 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\mpool.h                     | C++          |         36 |         19 |         11 |         66 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\request.h                   | C++          |         61 |         19 |         25 |        105 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\response.h                  | C++          |         48 |         17 |         22 |         87 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\router.h                    | C++          |         50 |         19 |         27 |         96 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\server.h                    | C++          |         80 |         19 |         37 |        136 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\session.h                   | C++          |         43 |         20 |         20 |         83 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\template.h                  | C++          |         36 |         17 |         18 |         71 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_list.h           | C++          |         28 |         20 |         11 |         59 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_queue.h          | C++          |         33 |         20 |         10 |         63 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_stack.h          | C++          |         30 |         19 |         12 |         61 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_string.h         | C++          |         33 |         18 |         12 |         63 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_thread_pool.h    | C++          |         45 |         28 |         18 |         91 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_timer.h          | C++          |         31 |         18 |         10 |         59 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\utility.h           | C++          |         15 |         17 |          7 |         39 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\elr_mpl\elr_mpl.h                               | C++          |         47 |        139 |         19 |        205 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\elr_mpl\elr_mtx.h                               | C++          |         20 |         46 |         14 |         80 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\iconv.h                                         | C++          |         47 |         61 |         27 |        135 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\jansson\jansson.h                               | C++          |        319 |         26 |         75 |        420 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\jansson\jansson_config.h                        | C++          |         27 |         31 |         17 |         75 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\DOCBparser.h                             | C++          |         66 |         18 |         13 |         97 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\HTMLparser.h                             | C++          |        210 |         74 |         22 |        306 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\HTMLtree.h                               | C++          |         93 |         39 |         16 |        148 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\SAX.h                                    | C++          |        150 |          9 |         15 |        174 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\SAX2.h                                   | C++          |        156 |          9 |         12 |        177 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\c14n.h                                   | C++          |         54 |         59 |         14 |        127 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\catalog.h                                | C++          |        125 |         42 |         16 |        183 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\chvalid.h                                | C++          |         96 |        103 |         32 |        231 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\debugXML.h                               | C++          |        143 |         55 |         20 |        218 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\dict.h                                   | C++          |         40 |         21 |          9 |         70 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\encoding.h                               | C++          |        131 |         91 |         19 |        241 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\entities.h                               | C++          |        109 |         25 |         17 |        151 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\globals.h                                | C++          |        370 |         65 |         68 |        503 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\hash.h                                   | C++          |        135 |         83 |         16 |        234 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\list.h                                   | C++          |         85 |         39 |         14 |        138 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\nanoftp.h                                | C++          |         88 |         62 |         13 |        163 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\nanohttp.h                               | C++          |         67 |          9 |          6 |         82 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\parser.h                                 | C++          |        689 |        471 |         76 |      1,236 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\parserInternals.h                        | C++          |        289 |        275 |         48 |        612 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\pattern.h                                | C++          |         65 |         22 |         14 |        101 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\relaxng.h                                | C++          |        148 |         46 |         20 |        214 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\schemasInternals.h                       | C++          |        399 |        515 |         45 |        959 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\schematron.h                             | C++          |         56 |         70 |         17 |        143 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\threads.h                                | C++          |         54 |         18 |         13 |         85 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\tree.h                                   | C++          |        887 |        275 |         91 |      1,253 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\uri.h                                    | C++          |         64 |         24 |          7 |         95 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\valid.h                                  | C++          |        332 |         87 |         40 |        459 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xinclude.h                               | C++          |         53 |         67 |         10 |        130 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xlink.h                                  | C++          |         81 |         87 |         22 |        190 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlIO.h                                  | C++          |        209 |        109 |         43 |        361 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlautomata.h                            | C++          |        112 |         21 |         14 |        147 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlerror.h                               | C++          |        872 |         59 |         14 |        945 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlexports.h                             | C++          |         99 |         51 |         13 |        163 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlmemory.h                              | C++          |         88 |        115 |         22 |        225 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlmodule.h                              | C++          |         25 |         19 |         14 |         58 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlreader.h                              | C++          |        311 |         79 |         35 |        425 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlregexp.h                              | C++          |        147 |         54 |         22 |        223 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlsave.h                                | C++          |         61 |         14 |         14 |         89 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlschemas.h                             | C++          |        135 |         62 |         22 |        219 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlschemastypes.h                        | C++          |        132 |          9 |         11 |        152 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlstring.h                              | C++          |        108 |         24 |          9 |        141 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlunicode.h                             | C++          |        178 |         13 |         12 |        203 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlversion.h                             | C++          |        160 |        253 |         55 |        468 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xmlwriter.h                              | C++          |        358 |         90 |         38 |        486 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xpath.h                                  | C++          |        273 |        205 |         69 |        547 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xpathInternals.h                         | C++          |        327 |        242 |         62 |        631 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\libxml\xpointer.h                               | C++          |         80 |         24 |         11 |        115 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\big_endian.h                              | C++          |         86 |         24 |         12 |        122 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\binary_log_types.h                        | C++          |         36 |         38 |          9 |         83 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\byte_order_generic.h                      | C++          |         70 |         25 |         10 |        105 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\byte_order_generic_x86.h                  | C++          |         27 |         32 |         10 |         69 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\decimal.h                                 | C++          |         64 |         62 |         19 |        145 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\errmsg.h                                  | C++          |         85 |         27 |         10 |        122 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\keycache.h                                | C++          |        105 |         40 |         19 |        164 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\little_endian.h                           | C++          |         61 |         30 |         15 |        106 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\m_ctype.h                                 | C++          |        593 |         88 |        133 |        814 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\m_string.h                                | C++          |        189 |        122 |         41 |        352 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_alloc.h                                | C++          |         33 |         41 |         17 |         91 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_byteorder.h                            | C++          |        154 |         36 |         36 |        226 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_command.h                              | C++          |         39 |         33 |          5 |         77 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_compiler.h                             | C++          |         93 |         76 |         22 |        191 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_config.h                               | C++          |        134 |        299 |         38 |        471 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_dbug.h                                 | C++          |        175 |         62 |         19 |        256 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_dir.h                                  | C++          |         53 |         30 |         18 |        101 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_getopt.h                               | C++          |         82 |         55 |         20 |        157 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_global.h                               | C++          |        527 |        175 |        103 |        805 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_list.h                                 | C++          |         24 |         26 |          8 |         58 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_sys.h                                  | C++          |        701 |        173 |        119 |        993 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_thread.h                               | C++          |        145 |         28 |         27 |        200 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_thread_local.h                         | C++          |         61 |         33 |         21 |        115 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\my_xml.h                                  | C++          |         55 |         31 |         18 |        104 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql.h                                   | C++          |        480 |        190 |         72 |        742 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\client_authentication.h             | C++          |         14 |         21 |          4 |         39 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\client_plugin.h                     | C++          |         80 |        108 |         27 |        215 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\com_data.h                          | C++          |         87 |         26 |         20 |        133 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\get_password.h                      | C++          |         12 |         25 |          7 |         44 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\group_replication_priv.h            | C++          |         42 |        127 |         38 |        207 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\innodb_priv.h                       | C++          |         14 |         40 |          9 |         63 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\mysql_lex_string.h                  | C++          |         15 |         21 |          5 |         41 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\plugin.h                            | C++          |        374 |        258 |        121 |        753 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\plugin_audit.h                      | C++          |        249 |        272 |         45 |        566 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\plugin_auth.h                       | C++          |         35 |        128 |         23 |        186 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\plugin_auth_common.h                | C++          |         35 |        107 |         14 |        156 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\plugin_ftparser.h                   | C++          |         52 |        150 |         20 |        222 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\plugin_group_replication.h          | C++          |         51 |         94 |         15 |        160 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\plugin_keyring.h                    | C++          |         19 |        162 |         11 |        192 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\mysql\mysql\plugin_trace.h                      | C++          |         91 |        231 |         35 |        357 |
